Name,Price,Description
Gmail Inbox,39,\Provides comprehensive  secure  and efficient management of Gmail inboxes. Use this skill to send 
Google Calendar,19,\Seamlessly manage Google Calendar to orchestrate events  schedules  and team availability. Use thi
Google Drive,19,\Automate file management in Google Drive. This skill enables creating  searching  sharing  and org
Google Forms,29,\Seamlessly create  manage  and analyze Google Forms and responses. Use this skill to build surveys
Gumroad Sales,49,Automate Gumroad sales  subscriber  and product management. Use this skill to get sales reports  man
Hubspot Crm,59,\Unlock comprehensive HubSpot CRM management. This skill enables creating  reading  updating  and d
Imagekit Media,49,\Unlock powerful  on-the-fly image and video transformations  optimization  and delivery with the I
Intercom Support,29,\Manages customer support and engagement using the Intercom API. Use this skill to handle conversat
Jira Issues,49,\Seamlessly manage Jira Cloud projects and issues via the REST API. This skill empowers you to crea
Jotform Forms,29,\Automate form creation  submission management  and data analysis in Jotform. Use this skill to bui
Klaviyo Email,39,\Unlock comprehensive Klaviyo email marketing automation. This skill enables end-to-end management 
Linear Tracker,49,\Seamlessly manage your software development lifecycle with the Linear Tracker skill. Create  updat
Magento Store,49,\Seamlessly manage your Adobe Commerce (Magento) store with comprehensive control over products  cu
Mailchimp Email,39,\Provides comprehensive management of Mailchimp email marketing operations. It allows for seamless 
Mailgun Email,39,\Provides comprehensive control over the Mailgun email service. It enables sending transactional an
Make Automation,49,\Empower your agent to seamlessly manage and orchestrate Make.com (formerly Integromat) workflows. 
Miro Boards,49,\Seamlessly manage and enrich Miro boards to supercharge team collaboration. This skill allows you 
Monday Productivity,49,Supercharge your Monday.com workflows by managing boards  items  updates  and users via the GraphQL 
Monday Workspace,49,\Automate your entire Monday.com workflow. This skill provides comprehensive control over your work
Netlify Deploy,49,\Automate end-to-end website deployment and management on Netlify. Use this skill to deploy sites f
Notion Ai Writer,29,Supercharge your Notion workspace with AI. This skill seamlessly integrates OpenAI's powerful genera
Notion Productivity,29,Automate your Notion workflows by creating  searching  and managing pages  databases  and content bl
Notion Workspace,29,\Seamlessly manage your Notion workspace with powerful automations. This skill enables creating  up
Openai Assistant,39,Empowers agents to leverage OpenAI's state-of-the-art models for advanced AI tasks  including sophis
Outlook Calendar,19,\Seamlessly manage your Microsoft Outlook Calendar. This skill empowers you to create  view  and mo
Outlook Inbox,49,\Empowers agents to manage Outlook/Microsoft 365 inboxes by sending  reading  and searching emails 
Paypal Payments,59,\Seamlessly integrate PayPal for secure payment processing  order management  and subscription hand
Pexels Media,49,Seamlessly search and integrate millions of high-quality  royalty-free stock photos and videos from 
Pipedrive Crm,59,\Seamlessly manage your entire sales pipeline and customer relationships in Pipedrive. This skill e
Plaid Finance,39,\Unlock comprehensive financial data aggregation and account management with the Plaid API. This sk
Postmark Email,39,\Powerfully manage all aspects of your application's transactional email. This skill enables you to
Razorpay Payments,59,\Seamlessly integrate Razorpay to manage the entire payment lifecycle. This skill empowers you to c
Recurly Billing,49,\Manages the entire subscription lifecycle  from customer account creation to invoicing and revenue
Salesforce Crm,59,Supercharge your sales workflow by seamlessly managing Salesforce CRM data. This skill empowers you 
Sanity Cms,49,\Provides comprehensive  high-speed management of the Sanity.io headless CMS. Use this skill for ad
Sendgrid Email,39,\Provides comprehensive SendGrid email functionality  enabling the sending of transactional and mar
Shopify Store,59,\Seamlessly manage your Shopify store with comprehensive support for products  orders  customers  a
Slack Manager,29,\Seamlessly manage your Slack workspace with advanced controls. This skill empowers you to automate
Square Payments,59,\Empowers agents to manage the entire customer lifecycle with Square  from processing payments and 
Strapi Cms,49,\Seamlessly manage and automate your Strapi headless CMS. This skill empowers you to perform compre
Stripe Payments,59,\Seamlessly integrate Stripe to manage the entire customer lifecycle  from creating customers and p
Supabase Db,49,\Provides comprehensive  high-level control over Supabase projects. Use it to manage database recor
Surveysparrow Forms,29,\Automate survey lifecycle and data collection using the SurveySparrow API. This skill enables crea
Telegram Bot,49,\Automate Telegram communications with a powerful bot. This skill enables sending targeted messages
Todoist Productivity,29,Supercharge your productivity by managing Todoist tasks  projects  sections  and comments directly t
Todoist Tasks,29,\Supercharge your productivity by managing Todoist tasks and projects via the REST API. Use this sk
Trello Boards,29,\Automate Trello workflows with precision. This skill enables creating  managing  and organizing Tr
Trello Productivity,29,Supercharge your project management with seamless Trello integration. This skill empowers you to cre
Twilio Comms,49,\Supercharge your applications with robust communication workflows using the Twilio API. This skill
Twitter Social,39,\Seamlessly manage Twitter (X) presence by posting tweets  analyzing engagement  and monitoring bra
Typeform Forms,29,\Seamlessly create  manage  and analyze Typeform surveys  forms  and quizzes. Use this skill to aut
Unsplash Media,49,\Seamlessly search  discover  and integrate millions of high-resolution  royalty-free images from U
Vercel Deploy,49,\Effortlessly deploy and manage your web projects on Vercel. This skill allows you to automate depl
Whatsapp Business,49,\Automate customer communication and manage workflows on the WhatsApp Business Cloud API. Use this 
Wistia Video,49,Seamlessly manage your entire Wistia video lifecycle  from uploading and organizing content in proje
Woocommerce Store,59,\Unlock powerful e-commerce automation. This skill provides comprehensive control over your WooComm
Wordpress Cms,49,\Automate your WordPress content lifecycle. This skill empowers you to create  manage  and publish 
Xano Backend,49,\Provides comprehensive management of Xano no-code backends. Use this skill for full CRUD operation
Youtube Manager,49,\Provides comprehensive YouTube channel and video management. Use it to search for videos  manage p
Youtube Video,49,\Seamlessly manage your YouTube presence. This skill empowers you to upload videos  analyze perform
Zapier Automation,49,\Seamlessly manage and automate your Zapier workflows. This skill enables you to create  monitor  a
Zendesk Support,29,\Automates comprehensive customer support operations in Zendesk. Use this skill to create  track  a
Zoho Crm,59,\Automate your entire sales and customer relationship lifecycle with the Zoho CRM skill. It provide
Zoom Meetings,19,\Automate Zoom meeting and webinar workflows  including scheduling  participant management  and clo
